Distance,Point,B,L,H,Density_Cs_min,Density_Cs_max,,Density_Sr_min,Density_Sr_max,log-normal,SA_Cs-137,SA_Sr-90,Soil_Type,Soil_Subtype,Soil_Granulometry,Plant_Formation,Plant_Type,Age,"Wood_Stock, m3/ha",Wood_ATF_Cs-137,Wood_ATF_Sr-90,Leaf_Cs-137,Leaf_Sr-90,SA_Cs_Wood,Leaf,Dose_external,Dose_internal (inhal.),3.90E-08,1.60E-07,1.00E-08,1.41,internal (inhal.),internal (inhal.),internal (inhal.),internal (inhal.) 2040 h,internal (inhal.) 2040 h,internal (inhal.) 2040 h,,,
2.9,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3173,30.8474,"52.317272,30.8473785384615"
3,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3174,30.8460,"52.317393,30.8459887692307"
3.1,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3175,30.8446,"52.317514,30.844599"
3.2,4,52.317514,30.844599,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3184,30.8444,"52.3184303571428,30.8444137857142"
3.3,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3193,30.8442,"52.3193467142857,30.8442285714285"
3.4,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3203,30.8440,"52.3202630714285,30.8440433571428"
3.5,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3212,30.8439,"52.3211794285714,30.8438581428571"
3.6,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3221,30.8437,"52.3220957857142,30.8436729285714"
3.7,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3230,30.8435,"52.3230121428571,30.8434877142857"
3.8,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3239,30.8433,"52.3239285,30.8433025"
3.9,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3248,30.8431,"52.3248448571428,30.8431172857142"
4,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3258,30.8429,"52.3257612142857,30.8429320714285"
4.1,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3267,30.8427,"52.3266775714285,30.8427468571428"
4.2,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3276,30.8426,"52.3275939285714,30.8425616428571"
4.3,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3285,30.8424,"52.3285102857142,30.8423764285714"
4.4,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3294,30.8422,"52.3294266428571,30.8421912142857"
4.5,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3303,30.8420,"52.330343,30.842006"
4.6,5,52.330343,30.842006,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3309,30.8409,"52.330872,30.840861"
4.7,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3314,30.8397,"52.331401,30.839716"
4.8,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3319,30.8386,"52.33193,30.838571"
