Stage,UG,Point,B,L,Y_1m_1,Y_1m_2,Y_1m_3,Y_1m_4,Y_1m_5,Y_3cm_1,Y_3cm_2,Y_3cm_3,Y_3cm_4,Y_3cm_5,"M_soil, g","SA_Soil, Bq/kg",+/-,Soil_0_5,Soil_5_10,Soil_10_15,Soil_15_20,Wood,Y_1m,Y_3cm,формация,тип,возраст,запас,"ПЗ, кБк/м2","ПЗ, Ки/км2"
6,,121.7,53.27964557939083,30.815826092450834,147,169,149,154,142,169,187,168,186,160,668,1054,132,,,,,,0.1522,0.174,пойма речки,,,,,
6,,121.8,53.28052961410331,30.815993696764565,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,121.9,53.281413648815786,30.8161613010783,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,122.0,53.28229768352826,30.816328905392034,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,122.1,53.28318171824074,30.816496509705765,107,130,109,114,125,145,147,154,151,129,,,,,,,,,0.117,0.1452,поле,,,,,
6,,122.2,53.28406575295322,30.8166641140195,127,,,,,136,,,,,,,,,,,,,0.127,0.136,,,,,,
6,,122.3,53.284949787665695,30.816831718333233,210,210,209,225,240,270,265,267,271,270,987,961,121,,,,,,0.2188,0.2686,поле,,,,,
6,,122.4,53.28583382237817,30.816999322646964,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,"окраина леса береза, осина, рябина",,,,,
6,,122.5,53.28671785709065,30.8171669269607,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,122.6,53.28760189180312,30.817334531274433,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,122.7,53.2884859265156,30.817502135588164,245,245,250,260,270,254,300,260,270,300,1027,633,80,,,,,,0.254,0.2768,"лес сосна,рябина, ель",,,,,
6,,122.8,53.289369961228076,30.8176697399019,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,122.9,53.29025399594055,30.817837344215633,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,123.0,53.29113803065303,30.818004948529364,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,123.1,53.29202206536551,30.818172552843098,115,158,111,115,128,128,147,130,135,170,1547,485,61,,,,,,0.1254,0.142,поле паханное,,,,,
6,,123.2,53.292906100077985,30.818340157156833,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
